Orders,,,,,,,,,Logistics (Business & Team Leads Only),,,,,,,
Subteam,Member ('@'),Link,Item Name,Purpose/Location,Item ID #,Quantity,Unit Price,Shipping Cost,Total Item Cost,Total Cost,Pre-Order Status,Order Status,Picked Up?,Purchasing Run #,Subteam Cost, Cost 
Team,Hannah Peik,,Mars Society Reg Fee,comp,,1,197.00,,197.00,197.00,verified ,yes ,,,Science, $ -   
Team,Hannah Peik,,PDR pizza party,pdr submission,,1,65.98,,65.98,65.98,verified ,yes ,,,Robotic Arm, $ -   
,,,,,,,,,0.00,0.00,,,,,DCS, $ -   
,,,,,,,,,0.00,0.00,,,,,Software, $ -   
,,,,,,,,,0.00,0.00,,,,,EC, $ -   
,,,,,,,,,0.00,0.00,,,,,Team,262.98
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
